;;;;;;;;;;;;;;;;Comparacion peso colombiano a argentino;;;;;;
Comparacion peso colombiano a Dólar;;;;;;;;Comparacion peso argetino a Dólar;;;;;;;;Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.;;Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.;;08.03.2023;23,76;23,84;23,91;23,62;;-0,37%
08.03.2023;4.750,94;4.761,00;4.782,44;4.725,32;;-0,21%;;08.03.2023;199,975;199,67;200,05;199,58;0,08K;0,15%;;07.03.2023;23,84;23,74;23,87;23,45;;0,42%
07.03.2023;4.761,00;4.732,01;4.769,12;4.683,10;;0,61%;;07.03.2023;199,67;199,25;199,725;199,25;0,07K;0,16%;;06.03.2023;23,74;24,16;24,16;23,74;;-1,60%
06.03.2023;4.732,01;4.788,63;4.790,00;4.704,50;;-1,10%;;06.03.2023;199,345;198,19;199,4;198,19;0,05K;0,54%;;03.03.2023;24,13;24,33;24,35;23,95;;-0,78%
03.03.2023;4.784,50;4.814,65;4.815,15;4.748,29;;-0,57%;;03.03.2023;198,27;197,88;198,31;197,765;0,04K;0,21%;;02.03.2023;24,32;24,45;24,75;24,29;;-0,48%
02.03.2023;4.811,90;4.830,18;4.898,50;4.805,93;;-0,33%;;02.03.2023;197,86;197,565;197,93;197,56;0,06K;0,16%;;01.03.2023;24,44;24,65;24,76;24,29;;-0,80%
01.03.2023;4.827,81;4.859,90;4.892,59;4.812,50;;-0,59%;;01.03.2023;197,55;197,56;197,595;197,155;0,06K;0,20%;;28.02.2023;24,63;24,19;24,7;24,08;;1,89%
28.02.2023;4.856,68;4.761,01;4.869,85;4.761,01;;2,07%;;28.02.2023;197,15;196,8;197,215;196,8;0,07K;0,18%;;27.02.2023;24,18;24,73;24,77;24,17;;-2,18%
27.02.2023;4.758,26;4.840,15;4.848,59;4.755,75;;-1,64%;;27.02.2023;196,79;195,615;196,86;195,615;0,06K;0,56%;;24.02.2023;24,72;24,87;24,99;24,6;;-0,58%
24.02.2023;4.837,40;4.858,15;4.879,41;4.815,37;;-0,37%;;24.02.2023;195,7;195,31;195,765;195,215;0,05K;0,20%;;23.02.2023;24,86;25,11;25,18;24,75;;-0,96%
23.02.2023;4.855,40;4.896,35;4.906,48;4.834,06;;-0,78%;;23.02.2023;195,31;194,955;195,38;194,855;0,08K;0,18%;;22.02.2023;25,1;25,69;25,69;25,08;;-2,09%
22.02.2023;4.893,36;4.961,50;4.961,75;4.890,53;;-1,21%;;22.02.2023;194,95;193,11;195,01;193,11;0,05K;1,02%;;21.02.2023;25,64;25,46;25,77;25,34;;0,80%
21.02.2023;4.953,43;4.916,31;4.979,00;4.894,35;;0,80%;;21.02.2023;192,98;193,11;193,21;193,085;0,00K;-0,01%;;20.02.2023;25,43;25,4;25,49;25,28;;0,30%
20.02.2023;4.913,94;4.905,10;4.923,04;4.881,63;;0,30%;;17.02.2023;192,99;192,82;193,215;192,82;0,05K;0,09%;;17.02.2023;25,36;25,55;25,7;25,26;;-0,75%
17.02.2023;4.899,45;4.927,09;4.956,19;4.879,77;;-0,55%;;16.02.2023;192,82;192,4;192,825;192,4;0,05K;0,23%;;16.02.2023;25,55;25,45;25,95;25,37;;0,40%
16.02.2023;4.926,34;4.896,90;4.998,49;4.880,33;;0,63%;;15.02.2023;192,37;191,9;192,455;191,895;0,08K;0,20%;;15.02.2023;25,45;24,75;25,62;24,75;;2,88%
15.02.2023;4.895,45;4.751,50;4.928,75;4.751,50;;3,08%;;14.02.2023;191,99;191,56;192,045;191,555;0,07K;0,18%;;14.02.2023;24,73;25,21;25,22;24,65;;-0,98%
14.02.2023;4.749,00;4.831,60;4.831,84;4.733,32;;-0,80%;;13.02.2023;191,65;190,465;191,675;190,44;0,06K;0,60%;;13.02.2023;24,98;25,2;25,24;24,89;;-0,84%
13.02.2023;4.787,31;4.798,85;4.837,75;4.768,74;;-0,25%;;10.02.2023;190,51;190,105;190,565;190,1;0,05K;0,17%;;10.02.2023;25,19;24,9;25,26;24,83;;1,03%
10.02.2023;4.799,18;4.736,46;4.811,75;4.724,48;;1,20%;;09.02.2023;190,19;190,2;190,24;189,845;0,05K;0,18%;;09.02.2023;24,93;25,09;25,12;24,8;;-0,69%
09.02.2023;4.742,25;4.762,35;4.773,02;4.717,82;;-0,50%;;08.02.2023;189,84;189,425;189,915;189,42;0,06K;0,17%;;08.02.2023;25,1;24,95;25,25;24,9;;0,67%
08.02.2023;4.766,05;4.729,06;4.793,55;4.726,17;;0,85%;;07.02.2023;189,51;189,11;189,515;189,015;0,06K;0,22%;;07.02.2023;24,94;25,31;25,35;24,94;;-1,40%
07.02.2023;4.726,06;4.786,25;4.798,30;4.726,31;;-1,20%;;06.02.2023;189,1;187,865;189,13;187,865;0,06K;0,59%;;06.02.2023;25,29;25;25,4;24,9;;1,29%
06.02.2023;4.783,25;4.699,25;4.803,70;4.692,24;;1,88%;;03.02.2023;188;187,495;188,015;187,48;0,07K;0,23%;;03.02.2023;24,97;24,46;25,08;24,4;;2,14%
03.02.2023;4.695,00;4.623,00;4.714,80;4.598,65;;2,38%;;02.02.2023;187,57;187,285;187,665;187,26;0,07K;0,18%;;02.02.2023;24,45;24,63;24,82;24,21;;-0,42%
02.02.2023;4.586,00;4.647,40;4.647,40;4.542,58;;-0,26%;;01.02.2023;187,24;186,9;187,335;186,895;0,08K;0,14%;;01.02.2023;24,55;24,99;24,99;24,55;;-1,65%
01.02.2023;4.598,05;4.668,51;4.670,38;4.598,89;;-1,49%;;31.01.2023;186,98;186,48;186,99;186,48;0,08K;0,23%;;31.01.2023;24,96;24,93;25,01;24,57;;0,14%
31.01.2023;4.667,72;4.651,96;4.673,63;4.591,90;;0,36%;;30.01.2023;186,56;185,53;186,615;185,53;0,06K;0,51%;;30.01.2023;24,93;24,53;25;24,39;;1,67%
30.01.2023;4.650,80;4.573,29;4.663,60;4.551,86;;2,19%;;27.01.2023;185,61;185,23;185,685;185,225;0,07K;0,16%;;27.01.2023;24,52;24,43;24,69;24,25;;0,41%
27.01.2023;4.551,00;4.527,70;4.582,85;4.502,36;;0,57%;;26.01.2023;185,31;184,99;185,36;184,975;0,07K;0,25%;;26.01.2023;24,42;24,66;24,68;24,29;;-0,13%
26.01.2023;4.525,20;4.560,90;4.571,30;4.502,04;;-0,01%;;25.01.2023;184,84;184,89;185,075;184,845;0,05K;0,19%;;25.01.2023;24,45;24,49;24,67;24,26;;0,05%
25.01.2023;4.525,48;4.521,00;4.563,85;4.489,54;;0,26%;;24.01.2023;184,49;184,28;184,725;184,27;0,06K;0,07%;;24.01.2023;24,44;24,73;24,74;24,41;;-1,12%
24.01.2023;4.513,54;4.559,00;4.567,15;4.505,63;;-0,94%;;23.01.2023;184,36;183,36;184,39;183,36;0,04K;0,50%;;23.01.2023;24,71;25,06;25,19;24,58;;-1,22%
23.01.2023;4.556,50;4.618,27;4.618,27;4.532,02;;-0,73%;;20.01.2023;183,44;183,425;183,445;183,42;0,04K;0,19%;;20.01.2023;25,02;25,68;25,68;25,05;;-1,78%
20.01.2023;4.590,00;4.702,72;4.702,72;4.595,00;;-1,60%;;19.01.2023;183,1;182,975;183,145;182,665;0,06K;0,16%;;19.01.2023;25,47;25,67;25,8;25,48;;-0,69%
19.01.2023;4.664,48;4.691,95;4.720,46;4.666,23;;-0,53%;;18.01.2023;182,8;182,495;182,81;182,4;0,06K;0,17%;;18.01.2023;25,65;25,9;25,94;25,59;;-0,92%
18.01.2023;4.689,45;4.727,40;4.735,50;4.678,23;;-0,75%;;17.01.2023;182,49;182,09;182,51;182,09;0,07K;0,19%;;17.01.2023;25,89;25,71;25,95;25,62;;0,70%
17.01.2023;4.724,90;4.684,50;4.735,60;4.675,05;;0,75%;;16.01.2023;182,15;181,73;182,175;181,73;0,07K;0,50%;;16.01.2023;25,71;25,81;25,81;25,74;;-0,51%
16.01.2023;4.689,88;4.670,78;4.689,88;4.670,78;;0,11%;;13.01.2023;181,25;180,885;181,315;180,885;0,06K;0,15%;;13.01.2023;25,84;25,91;26,03;25,79;;-0,10%
13.01.2023;4.684,56;4.686,51;4.718,27;4.675,30;;0,07%;;12.01.2023;180,97;180,83;180,98;180,67;0,07K;0,17%;;12.01.2023;25,87;26,2;26,2;25,81;;-1,19%
12.01.2023;4.681,51;4.733,00;4.733,02;4.671,10;;-1,03%;;11.01.2023;180,67;180,295;180,705;180,29;0,06K;0,16%;;11.01.2023;26,18;26,54;26,56;26,17;;-1,29%
