Comparacion peso colombiano a Dolar;;;;;;
Fecha;ultimo;Apertura;maximo;minimo;Vol;% var
08.03.2023;4750.94;4761;4782.44;4725.32;0;-0.21%
07.03.2023;4761;4732.01;4769.12;4683.1;0;0.61%
06.03.2023;4732.01;4788.63;4790;4704.5;0;-1.1%
03.03.2023;4784.5;4814.65;4815.15;4748.29;0;-0.57%
02.03.2023;4811.9;4830.18;4898.5;4805.93;0;-0.33%
01.03.2023;4827.81;4859.9;4892.59;4812.5;0;-0.59%
28.02.2023;4856.68;4761.01;4869.85;4761.01;0;2.07%
27.02.2023;4758.26;4840.15;4848.59;4755.75;0;-1.64%
24.02.2023;4837.4;4858.15;4879.41;4815.37;0;-0.37%
23.02.2023;4855.4;4896.35;4906.48;4834.06;0;-0.78%
22.02.2023;4893.36;4961.5;4961.75;4890.53;0;-1.21%
21.02.2023;4953.43;4916.31;4979;4894.35;0;0.8%
20.02.2023;4913.94;4905.1;4923.04;4881.63;0;0.3%
17.02.2023;4899.45;4927.09;4956.19;4879.77;0;-0.55%
16.02.2023;4926.34;4896.9;4998.49;4880.33;0;0.63%
15.02.2023;4895.45;4751.5;4928.75;4751.5;0;3.08%
14.02.2023;4749;4831.6;4831.84;4733.32;0;-0.8%
13.02.2023;4787.31;4798.85;4837.75;4768.74;0;-0.25%
10.02.2023;4799.18;4736.46;4811.75;4724.48;0;1.2%
09.02.2023;4742.25;4762.35;4773.02;4717.82;0;-0.5%
08.02.2023;4766.05;4729.06;4793.55;4726.17;0;0.85%
07.02.2023;4726.06;4786.25;4798.3;4726.31;0;-1.2%
06.02.2023;4783.25;4699.25;4803.7;4692.24;0;1.88%
03.02.2023;4695;4623;4714.8;4598.65;0;2.38%
02.02.2023;4586;4647.4;4647.4;4542.58;0;-0.26%
01.02.2023;4598.05;4668.51;4670.38;4598.89;0;-1.49%
31.01.2023;4667.72;4651.96;4673.63;4591.9;0;0.36%
30.01.2023;4650.8;4573.29;4663.6;4551.86;0;2.19%
27.01.2023;4551;4527.7;4582.85;4502.36;0;0.57%
26.01.2023;4525.2;4560.9;4571.3;4502.04;0;-0.01%
25.01.2023;4525.48;4521;4563.85;4489.54;0;0.26%
24.01.2023;4513.54;4559;4567.15;4505.63;0;-0.94%
23.01.2023;4556.5;4618.27;4618.27;4532.02;0;-0.73%
20.01.2023;4590;4702.72;4702.72;4595;0;-1.6%
19.01.2023;4664.48;4691.95;4720.46;4666.23;0;-0.53%
18.01.2023;4689.45;4727.4;4735.5;4678.23;0;-0.75%
17.01.2023;4724.9;4684.5;4735.6;4675.05;0;0.75%
16.01.2023;4689.88;4670.78;4689.88;4670.78;0;0.11%
13.01.2023;4684.56;4686.51;4718.27;4675.3;0;0.07%
12.01.2023;4681.51;4733;4733.02;4671.1;0;-1.03%
11.01.2023;4730;4787.83;4788.07;4728.13;0;-1.13%
10.01.2023;4784;4853.08;4853.21;4783.48;0;-1.33%
09.01.2023;4848.34;4860.81;4861.42;4849.3;0;-0.22%
06.01.2023;4859;4966.35;4973.65;4844.18;0;-2.07%
05.01.2023;4961.6;4930.25;5008.88;4930.23;0;0.81%
04.01.2023;4921.57;4895.01;4948.27;4874.24;0;0.6%
03.01.2023;4892;4848;4895.99;4818.11;0;0.91%
02.01.2023;4848;4848.67;4848.67;4848;0;0.02%
30.12.2022;4847;4850.83;4851.9;4844.99;0;0%
29.12.2022;4847;4774.73;4851.58;4765.88;0;1.62%
28.12.2022;4769.77;4763.56;4782.38;4750.12;0;0.16%
27.12.2022;4762;4730.95;4784.76;4730.64;0;0.74%
26.12.2022;4727;4729;4731;4728.5;0;-0.03%
23.12.2022;4728.33;4761;4761.88;4727.79;0;-0.62%
22.12.2022;4758;4767.83;4769;4751.32;0;-0.15%
21.12.2022;4765;4777.15;4777.15;4754.26;0;0.06%
20.12.2022;4762.07;4776;4783.13;4762.22;0;-0.25%
19.12.2022;4773.88;4790.26;4790.63;4770.33;0;-0.24%
16.12.2022;4785.51;4793.92;4814.9;4788.29;0;-0.11%
15.12.2022;4791;4780.75;4804.36;4775.83;0;0.27%
14.12.2022;4778;4765.41;4786.05;4757.65;0;0.34%
13.12.2022;4762;4849.93;4849.93;4761.5;0;-1.62%
12.12.2022;4840.33;4809.85;4861;4805.5;0;0.71%
09.12.2022;4806;4824.34;4834.23;4804.49;0;-0.19%
08.12.2022;4815.18;4825.21;4826.17;4819.09;0;-0.04%
07.12.2022;4817.18;4833.64;4843.88;4819.38;0;-0.27%
06.12.2022;4830;4835.5;4836.85;4806.8;0;-0.06%
05.12.2022;4832.68;4771.54;4837.68;4765.2;0;1.34%
02.12.2022;4768.6;4767.98;4798.7;4747.93;0;0.19%
01.12.2022;4759.6;4830.57;4831.42;4764.8;0;-1.4%
30.11.2022;4827;4811.13;4841.41;4789.08;0;0.43%
29.11.2022;4806.38;4833.38;4834.17;4801.19;0;-0.5%
28.11.2022;4830.64;4882.5;4882.5;4825.13;0;-0.64%
25.11.2022;4861.6;4909.9;4914.29;4862.24;0;-0.88%
24.11.2022;4904.7;4887;4911.45;4882.45;0;0.58%
23.11.2022;4876.47;4907.14;4907.14;4859;0;-0.53%
22.11.2022;4902.39;4950.67;4950.67;4895.27;0;-0.9%
21.11.2022;4947;4997.19;5003.44;4936.6;0;-0.75%
18.11.2022;4984.25;4999.38;5018.2;4950.48;0;-0.2%
17.11.2022;4994.38;4941.33;5041.45;4941.33;0;1.18%
16.11.2022;4936;4846.52;4966.4;4841.67;0;1.92%
15.11.2022;4843;4805.31;4849.22;4767.21;0;0.85%
14.11.2022;4802;4805.73;4814.13;4798.13;0;0.02%
11.11.2022;4801.1;4806.08;4810.5;4798.61;0;0.08%
10.11.2022;4797.06;4890;4909.18;4781.43;0;-1.94%
09.11.2022;4891.81;4974;4977.35;4890.06;0;-1.56%
08.11.2022;4969.25;5115;5123.13;4964.91;0;-2.64%
07.11.2022;5104;5096.59;5109;5089.85;0;0.33%
04.11.2022;5087;5068.85;5118.17;4999.92;0;0.57%
03.11.2022;5057.94;5003.03;5105.35;5000.53;0;1.2%
02.11.2022;4998.03;5003.5;5010.3;4969.93;0;-0.1%
01.11.2022;5003;4936.6;5015.25;4887.83;0;1.49%
31.10.2022;4929.35;4835;4946.33;4829.75;0;2.22%
28.10.2022;4822.08;4800;4867.71;4760.04;0;0.73%
27.10.2022;4787.08;4884.06;4889.98;4792.79;0;-1.73%
26.10.2022;4871.14;4975.2;4989.34;4873.38;0;-1.86%
25.10.2022;4963.45;4990;4990.88;4911.55;0;-0.3%
24.10.2022;4978.25;4918.1;5003.58;4912.2;0;1.47%
21.10.2022;4906.35;4904;4960.13;4877.55;0;0.29%
20.10.2022;4892.25;4840;4923.63;4836.38;0;1.2%
19.10.2022;4834.13;4762.1;4859.79;4759.71;0;1.64%
18.10.2022;4756.23;4735;4791.02;4682;0;0.57%
17.10.2022;4729.13;4698;4735.94;4693.23;0;0.79%
14.10.2022;4692.13;4575.71;4702;4548.25;0;2.68%
13.10.2022;4569.83;4607.9;4661.35;4574.52;0;-0.7%
12.10.2022;4602.03;4607.25;4628.06;4597.65;0;0.01%
11.10.2022;4601.38;4606.02;4636.76;4583.79;0;0.03%
10.10.2022;4600.15;4620;4620;4602.57;0;-0.3%
07.10.2022;4614.13;4613.5;4637.31;4575.87;0;0.14%
06.10.2022;4607.63;4581.9;4659.89;4573.33;0;0.69%
05.10.2022;4576.03;4496.5;4584.94;4491.5;0;1.9%
04.10.2022;4490.63;4530.02;4534.88;4462.04;0;-0.74%
03.10.2022;4524.14;4610;4610.46;4511.69;0;-1.74%
30.09.2022;4604.13;4528.69;4616.25;4524.04;0;1.8%
29.09.2022;4522.82;4490;4548.5;4486.52;0;0.86%
28.09.2022;4484.13;4554;4556.6;4462.02;0;-1.41%
27.09.2022;4548.13;4541.6;4575.19;4516.56;0;0.27%
26.09.2022;4535.73;4438.5;4550.69;4436.73;0;2.33%
23.09.2022;4432.63;4365.1;4463.19;4365.1;0;1.67%
22.09.2022;4359.81;4408;4408.22;4364.53;0;-0.97%
21.09.2022;4402.71;4426.25;4428.79;4393.65;0;-0.41%
20.09.2022;4420.96;4407;4435.4;4399;0;0.44%
19.09.2022;4401.71;4435.2;4452.35;4392.6;0;-0.64%
16.09.2022;4429.91;4418.09;4449.4;4412.73;0;0.39%
15.09.2022;4412.8;4392.5;4425.1;4385.01;0;0.62%
14.09.2022;4385.45;4412.5;4428.55;4366.35;0;-0.45%
13.09.2022;4405.45;4361.25;4431.52;4359.08;0;1.18%
12.09.2022;4354.2;4353;4370.1;4322.23;0;0.19%
09.09.2022;4345.95;4397.75;4424.15;4346.85;0;-1.02%
08.09.2022;4390.7;4400.3;4427.8;4363.54;0;-0.06%
07.09.2022;4393.25;4481;4511.5;4395.63;0;-1.8%
06.09.2022;4473.95;4465;4504.9;4450;0;0.36%
05.09.2022;4457.95;4486.5;4487.27;4465;0;-0.48%
02.09.2022;4479.45;4488;4508.65;4429.87;0;-0.03%
01.09.2022;4480.95;4429;4491.63;4426.06;0;1.31%
31.08.2022;4423;4422.5;4447;4401.58;0;0.17%
30.08.2022;4415.45;4367;4429.33;4349.9;0;1.27%
29.08.2022;4359.95;4401.11;4416.48;4363.67;0;-0.78%
26.08.2022;4394.06;4395.4;4417.27;4355.1;0;0.13%
25.08.2022;4388.35;4411;4444.4;4387.85;0;-0.35%
24.08.2022;4403.95;4358;4416;4344.45;0;1.22%
23.08.2022;4350.95;4399.98;4409.9;4355.02;0;-0.96%
22.08.2022;4392.93;4377;4414.9;4372.17;0;0.53%
19.08.2022;4369.95;4390;4431.15;4366.35;0;-0.31%
18.08.2022;4383.54;4344.55;4447;4342.38;0;1.05%
17.08.2022;4338.09;4255;4349.6;4247.59;0;2.11%
16.08.2022;4248.54;4163;4256;4155;0;2.2%
15.08.2022;4157.13;4162;4170;4155.52;0;0.02%
